
2019-06-02 15:47:14.925,Application Started,
2019-06-02 15:52:36.352,Application Started,
2019-06-02 15:54:52.009,Application Started,
2019-06-02 15:56:04.91,Application Started,
2019-06-02 15:56:12.802,Application Started,
2019-06-02 15:56:16.266,Application Started,
2019-06-02 16:00:45.436,Application Started,
2019-06-02 16:03:19.395,Application Started,
2019-06-02 16:03:56.897,Application Started,
2019-06-02 16:05:24.285,Application Started,
2019-06-02 16:05:42.188,Application Started,
2019-06-02 16:06:14.761,Application Started,
2019-06-02 16:06:49.628,Application Started,
2019-06-02 16:09:39.536,Application Started,
2019-06-02 16:11:20.413,Application Started,
2019-06-02 16:11:35.545,Application Started,
2019-06-02 16:12:14.475,Application Started,
2019-06-02 16:12:32.613,Application Started,
2019-06-02 16:14:59.222,Application Started,
2019-06-02 16:15:39.044,Application Started,
2019-06-02 16:26:18.872,Application Started,
2019-06-02 16:26:22.733,Login initiated,
